Title,Artist,Medium,Price
West Shelter North,Carol Summers,original watercolor,350
At Sea,Carol Summers,original watercolor,350
Summer Sunset,Carol Summers,original watercolor,250
Sleeping Panda,Carol Summers,original watercolor,275
Shore Acres,Carol Summers,original watercolor,250
The Finch,Carol Summers,original watercolor,250
