"obj_num","name_1","name_2","preset_amt_1","preset_amt_2","preset_amt_3","preset_amt_4","preset_amt_5","preset_amt_6","preset_amt_7","preset_amt_8","preset_amt_9","preset_amt_10","slu_priority","mi_slu_name_1","mi_slu_name_2","mi_slu_name_3","mi_slu_name_4","mi_slu_name_5","mi_slu_name_6","mi_slu_name_7","mi_slu_name_8","mlvl_class_name","prn_def_class_name","class_def_name","maj_grp_name","fam_grp_name","mi_grp_name","cond_grp_mem_name","cond_req_name","cond_allowed_name","nlu_grp","nlu_num","key_num","cost_1","cost_2","cost_3","cost_4","cost_5","cost_6","cost_7","cost_8","cost_9","cost_10"
"175","OVER EASY","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"176","OVER MED","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"177","OVER HARD","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"178","POACHED","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"179","SCRAM","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"180","SUNNY SIDE UP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"181","HASH BROWNS","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATO CHOICE","","","","","","","","","","","","","","",""
"182","FRIED POTS","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATO CHOICE","","","","","","","","","","","","","","",""
"183","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","EGG TEMP/MEAT","","","","","","","","","","","","","","",""
"184","MARINARA","","","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PASTA SAUCE","","","","","","","","","","","","","","",""
"185","PESTO","","","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PASTA SAUCE","","","","","","","","","","","","","","",""
"187","SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PASTA SAUCE","","","","","","","","","","","","","","",""
"188","SPECIAL","","","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","PASTA SAUCE","","","","","","","","","","","","","","",""
"189","SALMON ","SALMON ","28","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","","MC APP CHOICE","","","","","","","","","","","","","",""
"190","CALAMARI ","CALAMARI ","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","APP CHOICE","MC APP CHOICE","","","","","","","","","","","","","",""
"191","ALBARINO","","","","","","","","","","","","","","","","","","","","","All Levels","BAR ONLY","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","WINE CHOICE","MC APP CHOICE","","","","","","","","","","","","","",""
"192","BEETS","BEETS","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","APP CHOICE","MC APP CHOICE","","","","","","","","","","","","","",""
"193","BRULEE","BRULEE","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","DESSERT CHOICE","MC APP CHOICE","","","","","","","","","","","","","",""
"194","MOUSSE","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","DESSERT CHOICE","","","","","","","","","","","","","","",""
"195","ASIAN SLAW","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","SALAD DRESSING","","","","","","","","","","","","","","",""
"196","FRIES","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","SALAD DRESSING","","","","","","","","","","","","","","",""
"197","POT SALAD","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"198","SAUTEED GRNS","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"199","CELERYROOT SALAD","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","SOUP/SALAD","","","","","","","","","","","","","","",""
"200","SALAD/ NO DRSNG","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","LUNCH SIDE","","","","","","","","","","","","","","",""
"201","HOUSE SALAD","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","SOUP/SALAD","","","","","","","","","","","","","","",""
"202","FRIES","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","SOUP/SALAD","","","","","","","","","","","","","","",""
"203","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","SOUP/SALAD","","","","","","","","","","","","","","",""
"204","ASIAN SLAW","ASIAN SLAW","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","SOUP/SALAD","","","","","","","","","","","","","","",""
"205","SMASHED POTATO","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATOS/RICE","","","","","","","","","","","","","","",""
"206","FRENCH FRIES","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATOS/RICE","","","","","","","","","","","","","","",""
"207","CARROTS AND PARS","","0","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","POTATOS/RICE","","","","","","","","","","","","","","",""
"208","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","POTATOS/RICE","","","","","","","","","","","","","","",""
"209","CHEDDAR","","2","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN RED","PRICED CONDIMENT","FOOD","FOOD PREP","All Items","CHEESE","","","","","","","","","","","","","","",""
"210","BLUE CHEESE","","2","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","CHEESE","","","","","","","","","","","","","","",""
"211","GORGONZOLA","","2","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN RED","NO CHARGE CONDIMENT","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
"212","-SKIP-","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN RED","FOOD PREP","FOOD","FOOD PREP","All Items","CHEESE","","","","","","","","","","","","","","",""
"213","FRIES","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","FRIES/APPLES","","","","","","","","","","","","","","",""
"214","FRUIT","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","FRIES/APPLES","","","","","","","","","","","","","","",""
"215","BACON","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","BACON/NO BACON","","","","","","","","","","","","","","",""
"216","AVOCADO","","2","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","FOOD PREP","FOOD","FOOD PREP","All Items","BLT OPS","","","","","","","","","","","","","","",""
"217","PESTO","","2","","","","","","","","","","","","","","","","","","","All Levels","CHECK/KITCHEN","FOOD PREP","FOOD","FOOD PREP","All Items","BLT OPS","","","","","","","","","","","","","","",""
"218","--SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","BLT OPS","","","","","","","","","","","","","","",""
"219","SKIP","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","FRIES/APPLES","","","","","","","","","","","","","","",""
"220","POT SALAD","","","","","","","","","","","","","","","","","","","","","All Levels","KITCHEN ONLY","FOOD PREP","FOOD","FOOD PREP","All Items","","","","","","","","","","","","","","","",""
